plate_00
[16] u: [-0.987, 1.824] v: [-1.280, 1.098]
[17] u: [-0.986, 1.824] v: [-1.306, 1.098]
[18] u: [-1.022, 1.892] v: [-1.291, 1.152]
[19] u: [-0.997, 1.826] v: [-1.286, 1.103]
[Stopwatch@2019/01/05 10:25:38] case2: 1886秒 (31分26秒)
wing_20
[ 0] u: [-1.771, 2.103] v: [-1.847, 1.344]
[ 1] u: [-1.786, 2.842] v: [-1.536, 1.782]
[ 2] u: [-1.791, 2.483] v: [-1.429, 1.423]
[ 3] u: [-1.844, 2.569] v: [-1.420, 1.553]
[ 4] u: [-1.435, 2.586] v: [-1.484, 1.489]
[ 5] u: [-1.438, 2.389] v: [-1.567, 1.359]
[ 6] u: [-1.410, 2.284] v: [-1.574, 1.305]
[ 7] u: [-1.385, 2.317] v: [-1.576, 1.358]
[ 8] u: [-1.460, 2.312] v: [-1.564, 1.350]
[ 9] u: [-1.298, 2.275] v: [-1.594, 1.415]
[10] u: [-1.414, 2.324] v: [-1.550, 1.311]
[11] u: [-1.384, 2.302] v: [-1.555, 1.360]
[12] u: [-1.392, 2.293] v: [-1.527, 1.354]
[13] u: [-1.384, 2.297] v: [-1.558, 1.352]
[14] u: [-1.392, 2.298] v: [-1.525, 1.350]
[15] u: [-1.372, 2.301] v: [-1.570, 1.374]
[16] u: [-1.435, 2.324] v: [-1.546, 1.363]
[17] u: [-1.469, 2.273] v: [-1.583, 1.367]
[18] u: [-1.438, 2.248] v: [-1.587, 1.388]
[19] u: [-1.432, 2.240] v: [-1.547, 1.416]
wing_30
[ 0] u: [-2.037, 2.583] v: [-2.060, 1.663]
[ 1] u: [-1.960, 3.526] v: [-1.758, 2.027]
[ 2] u: [-1.938, 3.223] v: [-2.027, 1.990]
[ 3] u: [-2.174, 3.489] v: [-1.791, 1.825]
[ 4] u: [-1.872, 3.038] v: [-1.899, 1.806]
[ 5] u: [-1.893, 3.476] v: [-2.044, 1.919]
[ 6] u: [-1.819, 3.494] v: [-2.042, 1.808]
[ 7] u: [-1.907, 3.241] v: [-1.942, 1.975]
[ 8] u: [-2.189, 3.474] v: [-1.969, 1.677]
[ 9] u: [-1.914, 2.877] v: [-1.972, 1.975]
[10] u: [-1.897, 3.486] v: [-1.926, 1.869]
[11] u: [-1.778, 2.996] v: [-1.941, 1.561]
[12] u: [-1.923, 3.467] v: [-1.982, 1.978]
[13] u: [-1.832, 3.760] v: [-2.104, 1.930]
[14] u: [-1.811, 3.477] v: [-2.093, 2.059]
[15] u: [-2.192, 3.275] v: [-2.068, 1.869]
[16] u: [-1.985, 3.455] v: [-1.922, 1.773]
[17] u: [-2.142, 3.333] v: [-1.877, 1.878]
[18] u: [-1.875, 2.983] v: [-1.866, 1.904]
[19] u: [-2.129, 3.159] v: [-1.831, 2.005]
[Stopwatch@2019/01/13 21:42:13] case2: 657秒 (10分57秒)
